name,height,long,lat
Beinn a'Chaorainn,1052.0,-4.653639198858131,56.928636549683425
Glas Tulaichean,1051.0,-3.5581812263791512,56.86577159879998
Geal Charn,1049.0,-4.457234773760249,56.897762895418815
Sgurr Fhuar-thuill,1049.0,-4.941788486647199,57.44967113558663
Carn an t-Sagairt Mor,1047.0,-3.3032267182746997,56.942984702694574
Creag Mhor,1047.0,-4.614045612518471,56.48950497498793
Chno Dearg,1046.0,-4.660840547408042,56.83008107686234
Ben Wyvis - Glas Leathad Mor,1046.0,-4.579284501913976,57.67889468290765
Cruach Ardrain,1045.9,-4.5761589218495935,56.35642767270721
Beinn Iutharn Mhor,1045.0,-3.5682310007083804,56.895007955050765
Stob Coir' an Albannaich,1044.0,-4.979827739240354,56.554928835026544
Meall nan Tarmachan,1043.5,-4.3013582418312115,56.52165650596016
Carn Mairg,1042.0,-4.145612998562052,56.63466466983598
Sgurr na Ciche,1040.0,-5.456861127173456,57.013416657871375
Meall Ghaordaidh,1039.8,-4.41666728920243,56.52580905846081
Beinn Achaladair,1038.5,-4.694536215728486,56.551882136068954
Carn a'Mhaim,1037.0,-3.6584008497115796,57.03688047757003
Sgurr a'Bhealaich Dheirg,1036.0,-5.252175451513996,57.177808144441805
Gleouraich,1035.0,-5.238032713799008,57.09713972764541
Carn Dearg,1034.0,-4.454723963759924,56.85524220463526
Beinn Fhada,1032.0,-5.28351626886433,57.22097304766543
Am Bodach,1031.8,-4.983404237403985,56.741715055026
Carn an Righ,1029.0,-3.59527271635164,56.87657869902244
Carn Gorm,1029.0,-4.2260538389517235,56.62252007776887
Ben Oss,1029.0,-4.775507267344395,56.389254661079605
Sgurr a'Mhaoraich,1027.0,-5.3304624379021375,57.10554269813518
Sgurr na Ciste Duibhe,1027.0,-5.337163605585388,57.1809010562506
Ben Challum [Beinn Challuim],1025.0,-4.619190949828108,56.45455994068239
Beinn a'Bheithir - Sgorr Dhearg,1024.0,-5.171521983615414,56.653900472541714
Liathach - Mullach an Rathain,1023.0,-5.492544789208913,57.56086206297371
Buachaille Etive Mor - Stob Dearg,1021.4,-4.900347627611569,56.646220238238136
Ladhar Bheinn,1020.0,-5.5917487361201434,57.07522678770929
Aonach air Chrith,1019.5,-5.221294931214597,57.12461987611391
Mullach Clach a'Bhlair,1019.0,-3.8412672353508475,57.011887887381576
Carn an Tuirc,1019.0,-3.3571313711477035,56.908297135190985
Beinn Bheoil,1019.0,-4.430644818374808,56.81327873851416
Mullach Coire Mhic Fhearchair,1015.2,-5.2713450626282965,57.70900299793476
Garbh Chioch Mhor,1013.0,-5.444328181039204,57.008512949445226
